,精度,適合率,再現率,F1スコア
1,0.975,0.9878419452887538,0.9868421052631579,0.9873417721518987
2,0.985,0.9959555106167847,0.9889558232931727,0.9924433249370277
3,0.976,0.9908629441624366,0.9848637739656912,0.9878542510121457
4,0.983,0.993933265925177,0.9889336016096579,0.9914271306101866
5,0.98,0.9879032258064516,0.9919028340080972,0.98989898989899
6,0.972,0.9838056680161943,0.9878048780487805,0.9858012170385396
7,0.985,0.9869739478957916,0.9979736575481256,0.9924433249370277
8,0.982,0.9909182643794148,0.9909182643794148,0.9909182643794148
9,0.979,0.9898887765419616,0.9888888888888889,0.9893885800909551
10,0.984,0.9909365558912386,0.992936427850656,0.9919354838709677
平均,0.9801,0.9899020104524204,0.9900020254855644,0.9899452338927153
