,精度,適合率,再現率,F1スコア
1,0.986,0.9899396378269618,0.9959514170040485,0.9929364278506558
2,0.997,0.9979939819458375,0.998995983935743,0.9984947315604615
3,0.991,0.9959595959595959,0.9949545913218971,0.9954568399798082
4,0.999,0.9989949748743718,1.0,0.9994972347913524
5,0.992,0.9949494949494949,0.9969635627530364,0.9959555106167846
6,0.99,0.9909274193548387,0.9989837398373984,0.9949392712550608
7,0.996,0.9959636730575177,1.0,0.9979777553083923
8,0.993,0.9929859719438878,1.0,0.9964806435394671
9,0.991,0.990990990990991,1.0,0.9954751131221719
10,0.993,0.9979757085020243,0.9949545913218971,0.9964628600303183
平均,0.9928000000000001,0.9946681449405521,0.9980803886174019,0.9963676388054473
